iter	Passed	Remaining
0	3	3887
1	7	3848
2	10	3621
3	13	3346
4	16	3321
5	19	3270
6	23	3266
7	26	3230
8	29	3212
9	32	3180
10	35	3172
11	38	3165
12	41	3164
13	45	3183
14	48	3185
15	51	3176
16	55	3187
17	58	3181
18	61	3176
19	64	3174
20	68	3171
21	71	3161
22	74	3155
23	78	3195
24	81	3197
25	84	3184
26	88	3189
27	92	3196
28	94	3177
29	97	3168
30	100	3137
31	102	3114
32	105	3084
33	107	3060
34	110	3040
35	112	3021
36	115	2996
37	117	2973
38	119	2955
39	122	2934
40	124	2916
41	126	2895
42	129	2877
43	131	2862
44	134	2846
45	136	2836
46	139	2824
47	141	2812
48	144	2796
49	146	2784
50	149	2774
51	151	2761
52	153	2747
53	155	2731
54	158	2720
55	160	2707
56	163	2699
57	165	2685
58	167	2673
59	169	2662
60	172	2652
61	174	2641
62	176	2631
63	179	2620
64	181	2613
65	184	2611
66	186	2601
67	189	2591
68	191	2590
69	194	2584
70	196	2576
71	199	2569
72	201	2563
73	204	2557
74	207	2556
75	209	2551
76	212	2542
77	214	2536
78	216	2528
79	219	2521
80	220	2501
81	223	2498
82	226	2497
83	228	2490
84	230	2483
85	232	2475
86	235	2468
87	237	2463
88	240	2460
89	243	2461
90	246	2458
91	248	2451
92	250	2445
93	253	2440
94	254	2426
95	257	2423
96	260	2422
97	262	2419
98	265	2414
99	267	2409
100	269	2402
101	272	2398
102	275	2397
103	277	2391
104	280	2387
105	282	2383
106	284	2376
107	287	2371
108	289	2367
109	291	2361
110	294	2357
111	296	2347
112	298	2344
113	301	2340
114	303	2336
115	305	2325
116	307	2321
117	310	2320
118	313	2317
119	315	2311
120	317	2307
121	319	2302
122	322	2302
123	325	2299
124	328	2299
125	330	2293
126	333	2290
127	335	2284
128	337	2279
129	340	2276
130	342	2271
131	345	2271
132	347	2268
133	350	2262
134	352	2258
135	354	2254
136	357	2250
137	359	2247
138	362	2244
139	364	2239
140	367	2237
141	369	2229
142	370	2222
143	373	2218
144	375	2215
145	378	2213
146	380	2208
147	383	2206
148	385	2202
149	387	2195
150	389	2192
151	392	2187
152	395	2186
153	397	2184
154	400	2181
155	402	2178
156	405	2174
157	407	2171
158	409	2164
159	412	2163
160	414	2159
161	416	2155
162	419	2152
163	421	2149
164	423	2144
165	426	2142
166	428	2137
167	431	2135
168	433	2129
169	435	2125
170	437	2123
171	440	2122
172	443	2119
173	446	2117
174	449	2117
175	451	2114
176	453	2108
177	456	2108
178	459	2106
179	463	2109
180	465	2107
181	468	2105
182	470	2098
183	472	2095
184	474	2092
185	477	2089
186	480	2087
187	482	2085
188	485	2083
189	487	2080
190	490	2077
191	493	2075
192	495	2073
193	498	2070
194	501	2068
195	503	2066
196	506	2064
197	509	2061
198	511	2059
199	514	2056
200	515	2051
201	518	2048
202	521	2045
203	523	2043
204	526	2042
205	529	2041
206	532	2039
207	534	2036
208	537	2034
209	540	2032
210	543	2031
211	545	2029
212	548	2027
213	551	2025
214	553	2021
215	556	2019
216	558	2016
217	561	2012
218	563	2011
219	566	2008
220	569	2006
221	571	2003
222	574	2001
223	577	1999
224	579	1996
225	582	1994
226	584	1991
227	587	1988
228	590	1987
229	592	1984
230	594	1979
231	596	1974
232	598	1968
233	600	1964
234	602	1959
235	604	1957
236	607	1954
237	609	1952
238	612	1949
239	614	1946
240	616	1943
241	619	1941
242	622	1937
243	624	1936
244	627	1934
245	630	1933
246	633	1931
247	636	1929
248	639	1928
249	642	1926
250	644	1923
251	647	1921
252	648	1915
253	651	1912
254	653	1908
255	655	1905
256	658	1903
257	660	1899
258	663	1896
259	665	1893
260	667	1890
261	670	1887
262	672	1885
263	675	1883
264	677	1879
265	680	1877
266	682	1874
267	684	1869
268	686	1865
269	688	1862
270	691	1859
271	693	1857
272	696	1854
273	698	1851
274	701	1848
275	703	1845
276	706	1843
277	708	1840
278	711	1837
279	713	1834
280	714	1828
281	717	1826
282	719	1823
283	722	1821
284	724	1818
285	727	1815
286	729	1813
287	732	1810
288	734	1806
289	736	1803
290	739	1800
291	741	1798
292	744	1796
293	746	1792
294	748	1789
295	751	1787
296	753	1784
297	756	1782
298	758	1779
299	761	1776
300	764	1774
301	766	1771
302	768	1768
303	771	1766
304	773	1763
305	776	1760
306	778	1757
307	781	1754
308	783	1751
309	785	1747
310	787	1745
311	789	1741
312	792	1738
313	794	1736
314	797	1733
315	799	1731
316	801	1726
317	803	1723
318	806	1722
319	809	1719
320	811	1716
321	813	1713
322	815	1708
323	817	1705
324	819	1702
325	822	1700
326	823	1695
327	825	1692
328	828	1689
329	830	1686
330	833	1683
331	835	1680
332	838	1678
333	840	1676
334	843	1673
335	845	1670
336	847	1667
337	849	1664
338	852	1662
339	854	1659
340	856	1656
341	859	1653
342	861	1650
343	862	1645
344	864	1642
345	867	1639
346	868	1634
347	870	1631
348	873	1628
349	875	1625
350	877	1622
351	878	1617
352	881	1615
353	883	1612
354	885	1609
355	888	1606
356	890	1603
357	892	1600
358	893	1595
359	895	1591
360	897	1588
361	899	1585
362	901	1582
363	904	1580
364	906	1576
365	909	1575
366	910	1570
367	911	1565
368	912	1560
369	914	1557
370	916	1554
371	919	1552
372	922	1550
373	924	1547
374	927	1545
375	929	1542
376	932	1540
377	934	1537
378	937	1535
379	939	1533
