Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
telegra.ph,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1
new.express.adobe.com,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,0,1
suall4ss.top,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
jawatan-kosong.foie.site,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,0,1,1,0,1
importmelo.pe,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
dfsfger.xyz,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
newburycafe.co.za,0,0,1,4,0,0,0,0,1,1,1,1,0,1,1,0,1
canada.postcanadaevkwk.top,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
cuscatlansv9580.webcindario.com,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
canada.postcanadabwh.top,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
t.co,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1
gsfsfstssdu.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
auth-xfinityverification.faqserv.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
fiffr-12d16.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
terra.mailcomvoce.com,0,0,1,6,0,0,0,0,1,1,1,1,0,1,1,0,1
bdvpromociona.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1
pub-b72cd462909d46f0a9b08afad77e852f.r2.dev,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,0,1,1,0,1
thailand-villas.com,0,0,0,3,0,0,0,1,1,1,1,1,0,1,1,0,1
