Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
encremoinschere.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
dk11863382937.activehosted.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
jemi.so,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
geameinilogin.webflow.io,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
re-register-device.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
home-100810.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
migrate-chains.xyz,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
shaw-105261.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
pub-9b884cf1530c4e87a772bc4647fc66d3.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
upgradecenturyliin.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
russoarquitectura.cl,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
voucer12.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
q-r.to,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
qrco.de,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
t.co,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1
jhdv15jd95.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
aramex-post.live,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
messagerie8.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
verificacion-ing-movil.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
usps.com-trackmkeh.top,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
post-postzscanadaca.cc,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
attrapperprendres.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
docs.google.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
q-r.to,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
pub-1b02ab4f79ad472395a5a9dd0d119890.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
hedgiren.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
idhotl.top,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
altabiacenter.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
bnl-nuova-app.cc,0,0,1,2,0,0,0,1,0,1,0,1,1,1,1,1,1
styldod-delivery-dash.webflow.io,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
linkprofilattverifiactrion.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
uspsvlgz.top,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
upl.ldwtwvv.shop,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
fr-macarte-sante.info,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
shorturl.at,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
pub-7b14dc27029b49ba92e8d0e129805add.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
qrco.de,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
bio.site,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
q-r.to,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
pub-4f665dd5b3dc4c3083320cfea90e6b03.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
metafb-tt5acs5.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
erd-tvvge.formstack.com,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1
hyperfollow.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
flowcode.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
caireng.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
elisabungalov.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
info-trackingys.icu,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
t.co,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
t.co,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
urlz.fr,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
podrimapso.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
ee-payment-pending.web.app,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
facebok-verified.start.page,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
inusualinteriorismo.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
dos-walletconnect.gitbook.io,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
pub-16ad393ccf1048788ddaf9ffa184b5d1.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
7zoairy.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
qrco.de,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
n-telegssm.top,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
mygovclaims.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
workday45.s3.us-west-004.backblazeb2.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
adminsourceserverupdateamzlinkaccessrecordmanageauthuser.reviews.webhostix.in.net,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
review-login-mobile.web.app,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
almardoof.com,0,0,0,4,0,0,0,0,0,1,1,1,1,0,1,0,1
decentralizesolutionchain.pages.dev,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
new.express.adobe.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
rkl.azu.mybluehost.me,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
elizabethanita41.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
mailaccesssecured-c66916bd-08e5-403f-8f7f-ccfb698ccace.myportfolio.com,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
tinyurl.com,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
kuramekoyanate.cc,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
pajobupdate27.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
vhrf.org.in,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1,1
issuefeedback-matter-content.web.app,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
q-r.to,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
ushemployeetix.pages.dev,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
outlookwebmaildarin6814.softr.app,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
machaira.info,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
m.uw4n7.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
reagan-webmail-100158.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
bafybeier3d233o4higtdxiiumyjc7nvlqb45wyugueoq2kcc665ebfjozi.ipfs.nftstorage.link,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
pub-e42cb528b102447385e3145197916f51.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
tuzpost.top,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
sites.google.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,1,1
ipfs.io,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
usps.com-postlxf.xyz,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
bcxsad.xyz,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
canada.postcanadatgd.top,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
shorturl.at,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
blocksnodes.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
postkz.date,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
ncparis-dcb32.web.app,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
frisharepoint.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
api.officecloud.ru.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
pub-0e6370c7281d4390922bee8ab9b8b98d.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
btinternet-106499.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
cutery.stream,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
cx31206.tw1.ru,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
microsoft-104143.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
m-sso-uphold--com-cdn-autth.webflow.io,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
btinternet-103236.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
craikinlogun.gitbook.io,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
yoour-metaaa-update-rivac.start.page,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
qrco.de,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
canada.postcanadaktj.top,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
pub-fd6c0ef7433f4684983b2fc8d72bc9c2.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
phenntmwalt.gitbook.io,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
jeanhoudayersa.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
qrco.de,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
respondto.forms.app,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
dndfmd.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
mail-admin-102219.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
conavi.ink,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
xvgod.shop,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
billingverification.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
supportt.pages.dev,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
qrco.de,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
ingcliente-acceso-es.com,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
elamsnwjedffd.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
shorturl.at,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1
pub-06a0ddd488ad4d718aa2fe44a42ac548.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
canada.postcanadaejijw.top,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
02ip.ru,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
y1vcfa.webwave.dev,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
lkjhggfjkhgfdzsjm.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
support-desktop-web.webflow.io,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
configaccountupdateintlaccpymntincadminzonerecovery.aslsas.com.ar,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
attmailservicce2023.weeblysite.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
uspszdc.top,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
wordpress-correo-vul568342-omerbagardi427296.codeanyapp.com,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,1,1
new.express.adobe.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
gainonlineinfos.agju.info,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
disq.us,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
taculd.top,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
micadbrazzz.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
questionpro.com,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1
roundcube-updatealx.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
pub-a77375725cbe4ebebbbb725baa062262.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
pub-ece333732f6945909cfd4af6c3ff4f48.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
tdrcj.komi.io,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
docs.google.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
pub-20f913c6ab4344f9885914957c68d5a3.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
